date,name,ring,quadrant
2023-09-01,Oracle,HOLD,Datastore & Data Management
2023-09-01,PostgreSQL,HOLD,Datastore & Data Management
2023-09-01,Amazon DynamoDB,HOLD,Datastore & Data Management
2023-09-01,Terracotta,HOLD,Datastore & Data Management
2023-09-01,EHCache,HOLD,Datastore & Data Management
2023-09-01,Redis,HOLD,Datastore & Data Management
2023-09-01,Memcached,HOLD,Datastore & Data Management
2023-09-01,Amazon Aurora,HOLD,Datastore & Data Management
2023-09-01,Amazon Elasticache,HOLD,Datastore & Data Management
2023-09-01,Azure Storage,HOLD,Datastore & Data Management
2023-09-01,Cassandra,HOLD,Datastore & Data Management
2023-09-01,OpenStack Swift,HOLD,Datastore & Data Management
2023-09-01,LaunchDarkly,HOLD,Tools & Processes
2023-09-01,Maven,HOLD,Tools & Processes
2023-09-01,Gradle,HOLD,Tools & Processes
2023-09-01,CocoaPods,HOLD,Tools & Processes
2023-09-01,pip,HOLD,Tools & Processes
2023-09-01,npm,HOLD,Tools & Processes
2023-09-01,NuGet,HOLD,Tools & Processes
2023-09-01,Jira,HOLD,Tools & Processes
2023-09-01,Github,HOLD,Tools & Processes
2023-09-01,Trello,HOLD,Tools & Processes
2023-09-01,FitNesse,HOLD,Tools & Processes
2023-09-01,Karate,HOLD,Tools & Processes
2023-09-01,Postman,HOLD,Tools & Processes
2023-09-01,SoapUI,HOLD,Tools & Processes
2023-09-01,Swagger,HOLD,Tools & Processes
2023-09-01,JMeter,HOLD,Tools & Processes
2023-09-01,Applitools,HOLD,Tools & Processes
2023-09-01,Browserstack,HOLD,Tools & Processes
2023-09-01,Geb,HOLD,Tools & Processes
2023-09-01,MicroStrategy Integrity Manager,HOLD,Tools & Processes
